team,conference,eligible,eliminated,mid_major,ncaa_id
UNCW,CAA,TRUE,FALSE,TRUE,451738
William & Mary,CAA,TRUE,FALSE,TRUE,451880
Cleveland St.,Horizon,TRUE,FALSE,TRUE,451616
Detroit Mercy,Horizon,TRUE,FALSE,TRUE,451633
Green Bay,Horizon,TRUE,FALSE,TRUE,451882
IUPUI,Horizon,TRUE,FALSE,TRUE,451899
Milwaukee,Horizon,TRUE,FALSE,TRUE,451884
Northern Ky.,Horizon,TRUE,FALSE,TRUE,451763
Oakland,Horizon,TRUE,FALSE,TRUE,451767
UIC,Horizon,TRUE,FALSE,TRUE,451676
Wright St.,Horizon,TRUE,FALSE,TRUE,451885
Youngstown St.,Horizon,TRUE,FALSE,TRUE,451889
Brown,Ivy,TRUE,FALSE,TRUE,451590
Columbia,Ivy,TRUE,FALSE,TRUE,451621
Cornell,Ivy,TRUE,FALSE,TRUE,451624
Dartmouth,Ivy,TRUE,FALSE,TRUE,451626
Harvard,Ivy,TRUE,FALSE,TRUE,451665
Penn,Ivy,TRUE,FALSE,TRUE,451779
Princeton,Ivy,TRUE,FALSE,TRUE,451785
Yale,Ivy,TRUE,FALSE,TRUE,451888
Canisius,MAAC,TRUE,FALSE,TRUE,451609
Fairfield,MAAC,TRUE,FALSE,TRUE,451645
Iona,MAAC,TRUE,FALSE,TRUE,451680
Manhattan,MAAC,TRUE,FALSE,TRUE,451706
Marist,MAAC,TRUE,FALSE,TRUE,451707
Monmouth,MAAC,TRUE,FALSE,TRUE,451727
Niagara,MAAC,TRUE,FALSE,TRUE,451748
Quinnipiac,MAAC,TRUE,FALSE,TRUE,451788
Rider,MAAC,TRUE,FALSE,TRUE,451793
Saint Peter's,MAAC,TRUE,FALSE,TRUE,451804
Siena,MAAC,TRUE,FALSE,TRUE,451814
Akron,MAC,TRUE,FALSE,TRUE,451563
Ball St.,MAC,TRUE,FALSE,TRUE,451579
Bowling Green,MAC,TRUE,FALSE,TRUE,451587
Buffalo,MAC,TRUE,FALSE,TRUE,451593
Central Mich.,MAC,TRUE,FALSE,TRUE,451612
Eastern Mich.,MAC,TRUE,FALSE,TRUE,451642
Kent St.,MAC,TRUE,FALSE,TRUE,451689
Miami (OH),MAC,TRUE,FALSE,TRUE,451717
Northern Ill.,MAC,TRUE,FALSE,TRUE,451761
Ohio,MAC,TRUE,FALSE,TRUE,451769
Toledo,MAC,TRUE,FALSE,TRUE,451852
Western Mich.,MAC,TRUE,FALSE,TRUE,451878
Bethune-Cookman,MEAC,TRUE,FALSE,TRUE,451582
Coppin St.,MEAC,TRUE,FALSE,TRUE,451623
Delaware St.,MEAC,TRUE,FALSE,TRUE,451630
Florida A&M,MEAC,TRUE,FALSE,TRUE,451647
Howard,MEAC,TRUE,FALSE,TRUE,451671
Morgan St.,MEAC,TRUE,FALSE,TRUE,451731
N.C. A&T,MEAC,TRUE,FALSE,TRUE,451751
N.C. Central,MEAC,TRUE,FALSE,TRUE,451752
Norfolk St.,MEAC,TRUE,FALSE,TRUE,451750
Savannah St.,MEAC,TRUE,FALSE,TRUE,451812
South Carolina St.,MEAC,TRUE,FALSE,TRUE,451816
UMES,MEAC,TRUE,FALSE,TRUE,451712
Bradley,MVC,TRUE,FALSE,TRUE,451588
Drake,MVC,TRUE,FALSE,TRUE,451634
Evansville,MVC,TRUE,FALSE,TRUE,451644
Illinois St.,MVC,TRUE,FALSE,TRUE,451674
Indiana St.,MVC,TRUE,FALSE,TRUE,451677
Loyola Chicago,MVC,TRUE,FALSE,TRUE,451704
Missouri St.,MVC,TRUE,FALSE,TRUE,451830
Southern Ill.,MVC,TRUE,FALSE,TRUE,451824
UNI,MVC,TRUE,FALSE,TRUE,451762
Valparaiso,MVC,TRUE,FALSE,TRUE,451862
Air Force,MWC,TRUE,FALSE,TRUE,451857
Boise St.,MWC,TRUE,FALSE,TRUE,451584
Colorado St.,MWC,TRUE,FALSE,TRUE,451619
Fresno St.,MWC,TRUE,FALSE,TRUE,451597
Nevada,MWC,TRUE,FALSE,TRUE,451742
New Mexico,MWC,TRUE,FALSE,TRUE,451746
San Diego St.,MWC,TRUE,FALSE,TRUE,451807
San Jose St.,MWC,TRUE,FALSE,TRUE,451810
UNLV,MWC,TRUE,FALSE,TRUE,451741
Utah St.,MWC,TRUE,FALSE,TRUE,451860
Wyoming,MWC,TRUE,FALSE,TRUE,451886
Bryant,NEC,TRUE,FALSE,TRUE,451591
Central Conn. St.,NEC,TRUE,FALSE,TRUE,451610
Fairleigh Dickinson,NEC,TRUE,FALSE,TRUE,451646
LIU Brooklyn,NEC,TRUE,FALSE,TRUE,451696
Mount St. Mary's,NEC,TRUE,FALSE,TRUE,451732
Robert Morris,NEC,TRUE,FALSE,TRUE,451794
Sacred Heart,NEC,TRUE,FALSE,TRUE,451796
Saint Francis (PA),NEC,TRUE,FALSE,TRUE,451799
St. Francis Brooklyn,NEC,TRUE,FALSE,TRUE,451798
Wagner,NEC,TRUE,FALSE,TRUE,451869
Austin Peay,OVC,TRUE,FALSE,TRUE,451578
Belmont,OVC,TRUE,FALSE,TRUE,451905
Eastern Ill.,OVC,TRUE,FALSE,TRUE,451640
Eastern Ky.,OVC,TRUE,FALSE,TRUE,451641
Jacksonville St.,OVC,TRUE,FALSE,TRUE,451684
Morehead St.,OVC,TRUE,FALSE,TRUE,451730
Murray St.,OVC,TRUE,FALSE,TRUE,451733
SIUE,OVC,TRUE,FALSE,TRUE,451825
Southeast Mo. St.,OVC,TRUE,FALSE,TRUE,451821
Tennessee St.,OVC,TRUE,FALSE,TRUE,451839
Tennessee Tech,OVC,TRUE,FALSE,TRUE,451840
UT Martin,OVC,TRUE,FALSE,TRUE,451843
Arizona,Pac 12,TRUE,FALSE,FALSE,451573
Arizona St.,Pac 12,TRUE,FALSE,FALSE,451572
California,Pac 12,TRUE,FALSE,FALSE,451603
Colorado,Pac 12,TRUE,FALSE,FALSE,451620
Oregon,Pac 12,TRUE,FALSE,FALSE,451775
Oregon St.,Pac 12,TRUE,FALSE,FALSE,451774
Southern California,Pac 12,TRUE,FALSE,FALSE,451823
Stanford,Pac 12,TRUE,FALSE,FALSE,451833
UCLA,Pac 12,TRUE,FALSE,FALSE,451606
Utah,Pac 12,TRUE,FALSE,FALSE,451861
Washington,Pac 12,TRUE,FALSE,FALSE,451872
Washington St.,Pac 12,TRUE,FALSE,FALSE,451871
American,Patriot,TRUE,FALSE,TRUE,451570
Army West Point,Patriot,TRUE,FALSE,TRUE,451858
Boston U.,Patriot,TRUE,FALSE,TRUE,451586
Bucknell,Patriot,TRUE,FALSE,TRUE,451592
Colgate,Patriot,TRUE,FALSE,TRUE,451618
Holy Cross,Patriot,TRUE,FALSE,TRUE,451668
Lafayette,Patriot,TRUE,FALSE,TRUE,451692
Lehigh,Patriot,TRUE,FALSE,TRUE,451694
Loyola Maryland,Patriot,TRUE,FALSE,TRUE,451702
Navy,Patriot,TRUE,FALSE,TRUE,451859
Alabama,SEC,TRUE,FALSE,FALSE,451566
Arkansas,SEC,TRUE,FALSE,FALSE,451575
Auburn,SEC,TRUE,FALSE,FALSE,451577
Florida,SEC,TRUE,FALSE,FALSE,451651
Georgia,SEC,TRUE,FALSE,FALSE,451660
Kentucky,SEC,TRUE,FALSE,FALSE,451690
LSU,SEC,TRUE,FALSE,FALSE,451698
Mississippi St.,SEC,TRUE,FALSE,FALSE,451723
Missouri,SEC,TRUE,FALSE,FALSE,451726
Ole Miss,SEC,TRUE,FALSE,FALSE,451725
South Carolina,SEC,TRUE,FALSE,FALSE,451817
Tennessee,SEC,TRUE,FALSE,FALSE,451842
Texas A&M,SEC,TRUE,FALSE,FALSE,451844
Vanderbilt,SEC,TRUE,FALSE,FALSE,451863
Chattanooga,Southern,TRUE,FALSE,TRUE,451841
ETSU,Southern,TRUE,FALSE,TRUE,451639
Furman,Southern,TRUE,FALSE,TRUE,451653
Mercer,Southern,TRUE,FALSE,TRUE,451716
Samford,Southern,TRUE,FALSE,TRUE,451806
UNC Greensboro,Southern,TRUE,FALSE,TRUE,451737
Western Caro.,Southern,TRUE,FALSE,TRUE,451875
Wofford,Southern,TRUE,FALSE,TRUE,451903
A&M-Corpus Christi,Southland,TRUE,FALSE,TRUE,451907
Abilene Christian,Southland,TRUE,FALSE,TRUE,451562
Central Ark.,Southland,TRUE,FALSE,TRUE,451890
Houston Baptist,Southland,TRUE,FALSE,TRUE,451669
Incarnate Word,Southland,TRUE,FALSE,TRUE,451902
Lamar University,Southland,TRUE,FALSE,TRUE,451693
McNeese,Southland,TRUE,FALSE,TRUE,451714
New Orleans,Southland,TRUE,FALSE,TRUE,451747
Nicholls St.,Southland,TRUE,FALSE,TRUE,451749
Northwestern St.,Southland,TRUE,FALSE,TRUE,451764
Sam Houston St.,Southland,TRUE,FALSE,TRUE,451805
SFA,Southland,TRUE,FALSE,TRUE,451834
Southeastern La.,Southland,TRUE,FALSE,TRUE,451822
Denver,Summit,TRUE,FALSE,TRUE,451632
North Dakota,Summit,TRUE,FALSE,TRUE,451755
North Dakota St.,Summit,TRUE,FALSE,TRUE,451754
Omaha,Summit,TRUE,FALSE,TRUE,451740
Oral Roberts,Summit,TRUE,FALSE,TRUE,451773
Purdue Fort Wayne,Summit,TRUE,FALSE,TRUE,451679
South Dakota,Summit,TRUE,FALSE,TRUE,451819
South Dakota St.,Summit,TRUE,FALSE,TRUE,451818
Western Ill.,Summit,TRUE,FALSE,TRUE,451876
Appalachian St.,Sunbelt,TRUE,FALSE,TRUE,451571
Arkansas St.,Sunbelt,TRUE,FALSE,TRUE,451574
Coastal Caro.,Sunbelt,TRUE,FALSE,TRUE,451617
Ga. Southern,Sunbelt,TRUE,FALSE,TRUE,451657
Georgia St.,Sunbelt,TRUE,FALSE,TRUE,451658
La.-Monroe,Sunbelt,TRUE,FALSE,TRUE,451757
Little Rock,Sunbelt,TRUE,FALSE,TRUE,451576
Louisiana,Sunbelt,TRUE,FALSE,TRUE,451832
South Alabama,Sunbelt,TRUE,FALSE,TRUE,451815
Texas St.,Sunbelt,TRUE,FALSE,TRUE,451831
Troy,Sunbelt,TRUE,FALSE,TRUE,451854
UT Arlington,Sunbelt,TRUE,FALSE,TRUE,451848
Alabama A&M,SWAC,FALSE,TRUE,TRUE,451564
Alabama St.,SWAC,TRUE,FALSE,TRUE,451565
Alcorn,SWAC,TRUE,FALSE,TRUE,451569
Ark.-Pine Bluff,SWAC,TRUE,FALSE,TRUE,451898
Grambling,SWAC,TRUE,FALSE,TRUE,451662
Jackson St.,SWAC,TRUE,FALSE,TRUE,451683
Mississippi Val.,SWAC,TRUE,FALSE,TRUE,451724
Prairie View,SWAC,TRUE,FALSE,TRUE,451784
Southern U.,SWAC,TRUE,FALSE,TRUE,451828
Texas Southern,SWAC,TRUE,FALSE,TRUE,451846
California Baptist,WAC,FALSE,TRUE,TRUE,452194
Chicago St.,WAC,TRUE,FALSE,TRUE,451613
CSU Bakersfield,WAC,TRUE,FALSE,TRUE,451596
Grand Canyon,WAC,TRUE,FALSE,TRUE,451894
New Mexico St.,WAC,TRUE,FALSE,TRUE,451745
Seattle U,WAC,TRUE,FALSE,TRUE,451897
UMKC,WAC,TRUE,FALSE,TRUE,451900
Utah Valley,WAC,TRUE,FALSE,TRUE,451910
UTRGV,WAC,TRUE,FALSE,TRUE,451777
BYU,WCC,TRUE,FALSE,TRUE,451589
Gonzaga,WCC,TRUE,FALSE,TRUE,451661
Loyola Marymount,WCC,TRUE,FALSE,TRUE,451703
Pacific,WCC,TRUE,FALSE,TRUE,451776
Pepperdine,WCC,TRUE,FALSE,TRUE,451780
Portland,WCC,TRUE,FALSE,TRUE,451783
Saint Mary's (CA),WCC,TRUE,FALSE,TRUE,451803
San Diego,WCC,TRUE,FALSE,TRUE,451808
San Francisco,WCC,TRUE,FALSE,TRUE,451809
Santa Clara,WCC,TRUE,FALSE,TRUE,451811
