team,conference,eligible,eliminated,mid_major,ncaa_id
Davidson,A-10,TRUE,FALSE,TRUE,451627
Dayton,A-10,TRUE,FALSE,TRUE,451628
Duquesne,A-10,TRUE,FALSE,TRUE,451637
Fordham,A-10,TRUE,FALSE,TRUE,451652
George Mason,A-10,TRUE,FALSE,TRUE,451654
George Washington,A-10,TRUE,FALSE,TRUE,451655
La Salle,A-10,TRUE,FALSE,TRUE,451691
Massachusetts,A-10,TRUE,FALSE,TRUE,451713
Rhode Island,A-10,TRUE,FALSE,TRUE,451790
Richmond,A-10,TRUE,FALSE,TRUE,451792
Saint Joseph's,A-10,TRUE,FALSE,TRUE,451801
Saint Louis,A-10,TRUE,FALSE,TRUE,451802
St. Bonaventure,A-10,TRUE,FALSE,TRUE,451797
VCU,A-10,TRUE,FALSE,TRUE,451866
FGCU,A-Sun,TRUE,FALSE,TRUE,451909
Jacksonville,A-Sun,TRUE,FALSE,TRUE,451685
Kennesaw St.,A-Sun,TRUE,FALSE,TRUE,451895
Liberty,A-Sun,TRUE,FALSE,TRUE,451695
Lipscomb,A-Sun,TRUE,FALSE,TRUE,451908
NJIT,A-Sun,TRUE,FALSE,TRUE,451744
North Ala.,A-Sun,FALSE,TRUE,TRUE,452005
North Florida,A-Sun,TRUE,FALSE,TRUE,451901
Stetson,A-Sun,TRUE,FALSE,TRUE,451835
Cincinnati,AAC,TRUE,FALSE,FALSE,451614
East Carolina,AAC,TRUE,FALSE,FALSE,451638
Houston,AAC,TRUE,FALSE,FALSE,451670
Memphis,AAC,TRUE,FALSE,FALSE,451715
SMU,AAC,TRUE,FALSE,FALSE,451826
South Fla.,AAC,TRUE,FALSE,FALSE,451820
Temple,AAC,TRUE,FALSE,FALSE,451838
Tulane,AAC,TRUE,FALSE,FALSE,451855
Tulsa,AAC,TRUE,FALSE,FALSE,451856
UCF,AAC,TRUE,FALSE,FALSE,451611
UConn,AAC,TRUE,FALSE,FALSE,451622
Wichita St.,AAC,TRUE,FALSE,FALSE,451879
Boston College,ACC,TRUE,FALSE,FALSE,451585
Clemson,ACC,TRUE,FALSE,FALSE,451615
Duke,ACC,TRUE,FALSE,FALSE,451636
Florida St.,ACC,TRUE,FALSE,FALSE,451650
Georgia Tech,ACC,TRUE,FALSE,FALSE,451659
Louisville,ACC,TRUE,FALSE,FALSE,451700
Miami (FL),ACC,TRUE,FALSE,FALSE,451718
NC State,ACC,TRUE,FALSE,FALSE,451753
North Carolina,ACC,TRUE,FALSE,FALSE,451735
Notre Dame,ACC,TRUE,FALSE,FALSE,451766
Pittsburgh,ACC,TRUE,FALSE,FALSE,451781
Syracuse,ACC,TRUE,FALSE,FALSE,451837
Virginia,ACC,TRUE,FALSE,FALSE,451868
Virginia Tech,ACC,TRUE,FALSE,FALSE,451867
Wake Forest,ACC,TRUE,FALSE,FALSE,451870
Albany (NY),Am. East,TRUE,FALSE,TRUE,451568
Binghamton,Am. East,TRUE,FALSE,TRUE,451583
Hartford,Am. East,TRUE,FALSE,TRUE,451664
Maine,Am. East,TRUE,FALSE,TRUE,451705
New Hampshire,Am. East,TRUE,FALSE,TRUE,451743
Stony Brook,Am. East,TRUE,FALSE,TRUE,451836
UMass Lowell,Am. East,TRUE,FALSE,TRUE,451701
UMBC,Am. East,TRUE,FALSE,TRUE,451710
Vermont,Am. East,TRUE,FALSE,TRUE,451864
Illinois,Big 10,TRUE,FALSE,FALSE,451675
Indiana,Big 10,TRUE,FALSE,FALSE,451678
Iowa,Big 10,TRUE,FALSE,FALSE,451682
Maryland,Big 10,TRUE,FALSE,FALSE,451711
Michigan,Big 10,TRUE,FALSE,FALSE,451720
Michigan St.,Big 10,TRUE,FALSE,FALSE,451719
Minnesota,Big 10,TRUE,FALSE,FALSE,451722
Nebraska,Big 10,TRUE,FALSE,FALSE,451739
Northwestern,Big 10,TRUE,FALSE,FALSE,451765
Ohio St.,Big 10,TRUE,FALSE,FALSE,451768
Penn St.,Big 10,TRUE,FALSE,FALSE,451778
Purdue,Big 10,TRUE,FALSE,FALSE,451787
Rutgers,Big 10,TRUE,FALSE,FALSE,451795
Wisconsin,Big 10,TRUE,FALSE,FALSE,451883
Baylor,Big 12,TRUE,FALSE,FALSE,451581
Iowa St.,Big 12,TRUE,FALSE,FALSE,451681
Kansas,Big 12,TRUE,FALSE,FALSE,451688
Kansas St.,Big 12,TRUE,FALSE,FALSE,451687
Oklahoma,Big 12,TRUE,FALSE,FALSE,451771
Oklahoma St.,Big 12,TRUE,FALSE,FALSE,451770
TCU,Big 12,TRUE,FALSE,FALSE,451845
Texas,Big 12,TRUE,FALSE,FALSE,451849
Texas Tech,Big 12,TRUE,FALSE,FALSE,451847
West Virginia,Big 12,TRUE,FALSE,FALSE,451874
Butler,Big East,TRUE,FALSE,FALSE,451594
Creighton,Big East,TRUE,FALSE,FALSE,451625
DePaul,Big East,TRUE,FALSE,FALSE,451629
Georgetown,Big East,TRUE,FALSE,FALSE,451656
Marquette,Big East,TRUE,FALSE,FALSE,451708
Providence,Big East,TRUE,FALSE,FALSE,451786
Seton Hall,Big East,TRUE,FALSE,FALSE,451813
St. John's (NY),Big East,TRUE,FALSE,FALSE,451800
Villanova,Big East,TRUE,FALSE,FALSE,451865
Xavier,Big East,TRUE,FALSE,FALSE,451887
Eastern Wash.,Big Sky,TRUE,FALSE,TRUE,451643
Idaho,Big Sky,TRUE,FALSE,TRUE,451673
Idaho St.,Big Sky,TRUE,FALSE,TRUE,451672
Montana,Big Sky,TRUE,FALSE,TRUE,451729
Montana St.,Big Sky,TRUE,FALSE,TRUE,451728
Northern Ariz.,Big Sky,TRUE,FALSE,TRUE,451759
Northern Colo.,Big Sky,TRUE,FALSE,TRUE,451760
Portland St.,Big Sky,TRUE,FALSE,TRUE,451782
Sacramento St.,Big Sky,TRUE,FALSE,TRUE,451601
Southern Utah,Big Sky,TRUE,FALSE,TRUE,451829
Weber St.,Big Sky,TRUE,FALSE,TRUE,451873
Campbell,Big South,TRUE,FALSE,TRUE,451608
Charleston So.,Big South,TRUE,FALSE,TRUE,451580
Gardner-Webb,Big South,TRUE,FALSE,TRUE,451893
Hampton,Big South,TRUE,FALSE,TRUE,451663
High Point,Big South,TRUE,FALSE,TRUE,451906
Longwood,Big South,TRUE,FALSE,TRUE,451697
Presbyterian,Big South,TRUE,FALSE,TRUE,451896
Radford,Big South,TRUE,FALSE,TRUE,451789
UNC Asheville,Big South,TRUE,FALSE,TRUE,451734
USC Upstate,Big South,TRUE,FALSE,TRUE,451904
Winthrop,Big South,TRUE,FALSE,TRUE,451881
Cal Poly,Big West,TRUE,FALSE,TRUE,451595
Cal St. Fullerton,Big West,TRUE,FALSE,TRUE,451598
CSUN,Big West,TRUE,FALSE,TRUE,451600
Hawaii,Big West,TRUE,FALSE,TRUE,451666
Long Beach St.,Big West,TRUE,FALSE,TRUE,451599
UC Davis,Big West,TRUE,FALSE,TRUE,451604
UC Irvine,Big West,TRUE,FALSE,TRUE,451605
UC Riverside,Big West,TRUE,FALSE,TRUE,451607
UC Santa Barbara,Big West,TRUE,FALSE,TRUE,451602
Charlotte,C-USA,TRUE,FALSE,TRUE,451736
FIU,C-USA,TRUE,FALSE,TRUE,451649
Fla. Atlantic,C-USA,TRUE,FALSE,TRUE,451648
Louisiana Tech,C-USA,TRUE,FALSE,TRUE,451699
Marshall,C-USA,TRUE,FALSE,TRUE,451709
Middle Tenn.,C-USA,TRUE,FALSE,TRUE,451721
North Texas,C-USA,TRUE,FALSE,TRUE,451756
Old Dominion,C-USA,TRUE,FALSE,TRUE,451772
Rice,C-USA,TRUE,FALSE,TRUE,451791
Southern Miss.,C-USA,TRUE,FALSE,TRUE,451827
UAB,C-USA,TRUE,FALSE,TRUE,451567
UTEP,C-USA,TRUE,FALSE,TRUE,451850
UTSA,C-USA,TRUE,FALSE,TRUE,451851
Western Ky.,C-USA,TRUE,FALSE,TRUE,451877
Col. of Charleston,CAA,TRUE,FALSE,TRUE,451891
Delaware,CAA,TRUE,FALSE,TRUE,451631
Drexel,CAA,TRUE,FALSE,TRUE,451635
Elon,CAA,TRUE,FALSE,TRUE,451892
Hofstra,CAA,TRUE,FALSE,TRUE,451667
James Madison,CAA,TRUE,FALSE,TRUE,451686
Northeastern,CAA,TRUE,FALSE,TRUE,451758
Towson,CAA,TRUE,FALSE,TRUE,451853
