"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2018,11,6,"A&M-Corpus Christi","St. Thomas (TX)","H",78,40,NA,1
2018,11,12,"A&M-Corpus Christi","UTRGV","V",59,49,NA,2
2018,11,20,"A&M-Corpus Christi","Texas Tech","V",61,78,NA,2
2018,11,26,"A&M-Corpus Christi","Texas St.","H",53,60,NA,2
2018,11,30,"A&M-Corpus Christi","Louisiana","N",64,63,NA,2
2018,12,1,"A&M-Corpus Christi","Prairie View","N",59,67,NA,2
2018,12,4,"A&M-Corpus Christi","UTRGV","H",57,70,NA,2
2018,12,8,"A&M-Corpus Christi","Tex. A&M Int'l","H",84,36,NA,1
2018,12,14,"A&M-Corpus Christi","Schreiner","H",64,34,NA,1
2018,12,18,"A&M-Corpus Christi","New Mexico St.","H",65,67,NA,2
2018,12,20,"A&M-Corpus Christi","Texas Lutheran","H",73,49,NA,1
2018,12,31,"A&M-Corpus Christi","Central Ark.","V",NA,NA,NA,2
2019,1,5,"A&M-Corpus Christi","Lamar University","V",NA,NA,NA,2
2019,1,9,"A&M-Corpus Christi","Northwestern St.","H",NA,NA,NA,2
2019,1,16,"A&M-Corpus Christi","Sam Houston St.","H",NA,NA,NA,2
2019,1,19,"A&M-Corpus Christi","New Orleans","H",NA,NA,NA,2
2019,1,23,"A&M-Corpus Christi","Nicholls St.","V",NA,NA,NA,2
2019,1,30,"A&M-Corpus Christi","Abilene Christian","H",NA,NA,NA,2
2019,2,2,"A&M-Corpus Christi","Houston Baptist","V",NA,NA,NA,2
2019,2,6,"A&M-Corpus Christi","Southeastern La.","V",NA,NA,NA,2
2019,2,9,"A&M-Corpus Christi","Incarnate Word","H",NA,NA,NA,2
2019,2,13,"A&M-Corpus Christi","Sam Houston St.","V",NA,NA,NA,2
2019,2,16,"A&M-Corpus Christi","New Orleans","V",NA,NA,NA,2
2019,2,20,"A&M-Corpus Christi","SFA","H",NA,NA,NA,2
2019,2,23,"A&M-Corpus Christi","Lamar University","H",NA,NA,NA,2
2019,2,27,"A&M-Corpus Christi","Abilene Christian","V",NA,NA,NA,2
2019,3,2,"A&M-Corpus Christi","Incarnate Word","V",NA,NA,NA,2
2019,3,6,"A&M-Corpus Christi","McNeese","H",NA,NA,NA,2
2019,3,9,"A&M-Corpus Christi","Houston Baptist","H",NA,NA,NA,2
2018,11,9,"Abilene Christian","Southwest (NM)","H",90,47,NA,1
2018,11,15,"Abilene Christian","Howard Payne","H",98,43,NA,1
2018,11,17,"Abilene Christian","Eastern N.M.","H",78,46,NA,1
2018,11,20,"Abilene Christian","New Mexico St.","V",58,46,NA,2
2018,11,23,"Abilene Christian","Texas Southern","N",81,39,NA,2
2018,11,24,"Abilene Christian","UTEP","V",70,69,NA,2
2018,11,28,"Abilene Christian","Tulsa","V",63,75,NA,2
2018,12,1,"Abilene Christian","Schreiner","H",90,43,NA,1
2018,12,8,"Abilene Christian","Arkansas","H",68,80,NA,2
2018,12,17,"Abilene Christian","FGCU","V",65,81,NA,2
2018,12,29,"Abilene Christian","Texas Tech","V",NA,NA,NA,2
2019,1,2,"Abilene Christian","New Orleans","V",NA,NA,NA,2
2019,1,5,"Abilene Christian","Sam Houston St.","V",NA,NA,NA,2
2019,1,9,"Abilene Christian","McNeese","H",NA,NA,NA,2
2019,1,12,"Abilene Christian","Southeastern La.","V",NA,NA,NA,2
2019,1,16,"Abilene Christian","Houston Baptist","V",NA,NA,NA,2
2019,1,19,"Abilene Christian","Northwestern St.","V",NA,NA,NA,2
2019,1,23,"Abilene Christian","SFA","H",NA,NA,NA,2
2019,1,26,"Abilene Christian","Central Ark.","H",NA,NA,NA,2
2019,1,30,"Abilene Christian","A&M-Corpus Christi","V",NA,NA,NA,2
2019,2,6,"Abilene Christian","Lamar University","H",NA,NA,NA,2
2019,2,9,"Abilene Christian","Sam Houston St.","H",NA,NA,NA,2
2019,2,13,"Abilene Christian","Nicholls St.","H",NA,NA,NA,2
2019,2,16,"Abilene Christian","Incarnate Word","V",NA,NA,NA,2
2019,2,23,"Abilene Christian","Southeastern La.","H",NA,NA,NA,2
2019,2,27,"Abilene Christian","A&M-Corpus Christi","H",NA,NA,NA,2
2019,3,2,"Abilene Christian","Central Ark.","V",NA,NA,NA,2
2019,3,6,"Abilene Christian","SFA","V",NA,NA,NA,2
2019,3,9,"Abilene Christian","Incarnate Word","H",NA,NA,NA,2
2018,11,6,"Air Force","Western Colo.","H",72,54,NA,1
2018,11,9,"Air Force","George Mason","H",71,78,NA,2
2018,11,11,"Air Force","Denver","V",66,92,NA,2
2018,11,16,"Air Force","Fairleigh Dickinson","H",85,37,NA,2
2018,11,21,"Air Force","Army West Point","V",71,60,NA,2
2018,11,24,"Air Force","Northeastern","V",41,54,NA,2
2018,11,28,"Air Force","Northern Colo.","H",69,57,NA,2
2018,12,2,"Air Force","Minnesota","V",50,67,NA,2
2018,12,7,"Air Force","Navy","H",47,54,NA,2
2018,12,18,"Air Force","Portland","V",60,79,NA,2
2018,12,20,"Air Force","Oregon","V",36,82,NA,2
2019,1,2,"Air Force","New Mexico","V",NA,NA,NA,2
2019,1,5,"Air Force","Utah St.","H",NA,NA,NA,2
2019,1,9,"Air Force","Colorado St.","H",NA,NA,NA,2
2019,1,12,"Air Force","San Diego St.","V",NA,NA,NA,2
2019,1,16,"Air Force","UNLV","V",NA,NA,NA,2
2019,1,19,"Air Force","Nevada","H",NA,NA,NA,2
2019,1,23,"Air Force","Boise St.","V",NA,NA,NA,2
2019,1,26,"Air Force","San Jose St.","H",NA,NA,NA,2
2019,1,30,"Air Force","San Diego St.","H",NA,NA,NA,2
2019,2,2,"Air Force","Colorado St.","V",NA,NA,NA,2
2019,2,6,"Air Force","Wyoming","V",NA,NA,NA,2
2019,2,13,"Air Force","UNLV","H",NA,NA,NA,2
2019,2,16,"Air Force","Utah St.","V",NA,NA,NA,2
2019,2,20,"Air Force","Fresno St.","H",NA,NA,NA,2
2019,2,23,"Air Force","San Jose St.","V",NA,NA,NA,2
2019,3,2,"Air Force","Wyoming","H",NA,NA,NA,2
2019,3,4,"Air Force","Nevada","V",NA,NA,NA,2
2019,3,7,"Air Force","Boise St.","H",NA,NA,NA,2
2018,11,13,"Akron","N.C. A&T","V",49,36,NA,2
