"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2017,11,14,"A&M-Corpus Chris","UTRGV","V",53,56,NA,2
2017,11,18,"A&M-Corpus Chris","UTEP","V",49,69,NA,2
2017,11,20,"A&M-Corpus Chris","New Mexico St.","V",61,70,NA,2
2017,11,25,"A&M-Corpus Chris","Prairie View","N",72,62,NA,2
2017,11,26,"A&M-Corpus Chris","Florida A&M","N",58,55,NA,2
2017,11,29,"A&M-Corpus Chris","UTRGV","H",71,41,NA,2
2017,12,18,"A&M-Corpus Chris","Rice","H",56,67,NA,2
2017,12,28,"A&M-Corpus Chris","Central Ark.","H",50,58,NA,2
2017,12,30,"A&M-Corpus Chris","Lamar University","H",31,70,NA,2
2018,1,3,"A&M-Corpus Chris","Northwestern St.","V",62,56,NA,2
2018,1,10,"A&M-Corpus Chris","Sam Houston St.","V",67,57,NA,2
2018,1,13,"A&M-Corpus Chris","New Orleans","V",49,66,NA,2
2018,1,17,"A&M-Corpus Chris","Nicholls St.","H",76,55,NA,2
2018,1,24,"A&M-Corpus Chris","Abilene Christian","V",59,61,NA,2
2018,1,27,"A&M-Corpus Chris","Houston Baptist","H",50,49,NA,2
2018,1,31,"A&M-Corpus Chris","Southeastern La.","H",56,52,NA,2
2018,2,3,"A&M-Corpus Chris","Incarnate Word","V",62,58,NA,2
2018,2,3,"A&M-Corpus Chris","Incarnate Word","V",NA,NA,NA,2
2018,2,7,"A&M-Corpus Chris","Sam Houston St.","H",NA,NA,NA,2
2018,2,10,"A&M-Corpus Chris","New Orleans","H",NA,NA,NA,2
2018,2,14,"A&M-Corpus Chris","SFA","V",NA,NA,NA,2
2018,2,17,"A&M-Corpus Chris","Lamar University","V",NA,NA,NA,2
2018,2,21,"A&M-Corpus Chris","Abilene Christian","H",NA,NA,NA,2
2018,2,24,"A&M-Corpus Chris","Incarnate Word","H",NA,NA,NA,2
2018,2,28,"A&M-Corpus Chris","McNeese","V",NA,NA,NA,2
2018,3,3,"A&M-Corpus Chris","Houston Baptist","V",NA,NA,NA,2
2017,11,18,"Abilene Christian","Idaho","H",82,72,NA,2
2017,11,21,"Abilene Christian","SMU","V",44,65,NA,2
2017,11,29,"Abilene Christian","Arkansas","V",65,79,NA,2
2017,12,3,"Abilene Christian","FGCU","H",55,94,NA,2
2017,12,21,"Abilene Christian","Radford","N",65,71,NA,2
2017,12,22,"Abilene Christian","Old Dominion","N",74,60,NA,2
2017,12,28,"Abilene Christian","New Orleans","H",80,70,NA,2
2017,12,30,"Abilene Christian","Sam Houston St.","H",83,65,NA,2
2018,1,3,"Abilene Christian","McNeese","V",80,75,NA,2
2018,1,6,"Abilene Christian","Southeastern La.","H",86,80,NA,2
2018,1,10,"Abilene Christian","Houston Baptist","H",80,68,NA,2
2018,1,13,"Abilene Christian","Northwestern St.","H",80,41,NA,2
2018,1,17,"Abilene Christian","SFA","V",55,66,NA,2
2018,1,20,"Abilene Christian","Central Ark.","V",45,63,NA,2
2018,1,24,"Abilene Christian","A&M-Corpus Chris","H",61,59,NA,2
2018,1,31,"Abilene Christian","Lamar University","V",71,77,NA,2
2018,2,3,"Abilene Christian","Sam Houston St.","V",NA,NA,NA,2
2018,2,7,"Abilene Christian","Nicholls St.","V",NA,NA,NA,2
2018,2,10,"Abilene Christian","Incarnate Word","H",NA,NA,NA,2
2018,2,17,"Abilene Christian","Southeastern La.","V",NA,NA,NA,2
2018,2,21,"Abilene Christian","A&M-Corpus Chris","V",NA,NA,NA,2
2018,2,24,"Abilene Christian","Central Ark.","H",NA,NA,NA,2
